변환,USD,주식
2013-04-10,1137,4090600000000
2013-04-11,1130,4720900000000
2013-04-12,1129,5009000000000
2013-04-15,1131,4215000000000
2013-04-16,1124,4777500000000
2013-04-17,1112,5264700000000
2013-04-18,1122,4206400000000
2013-04-19,1122,4379300000000
2013-04-22,1121,3626700000000
2013-04-23,1119,3458100000000
2013-04-24,1119.5,4363900000000
2013-04-25,1116,4407100000000
2013-04-26,1109,4003100000000
2013-04-29,1110,3648000000000
2013-04-30,1103.5,4974700000000
2013-05-02,1099.6,4181100000000
2013-05-03,1101,4226200000000
2013-05-06,1097,3941000000000
2013-05-07,1095,3499700000000
2013-05-08,1087,3964100000000
2013-05-09,1083,4965500000000
2013-05-10,1099,4116800000000
